Year,Series,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2009,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,3.753584577
2010,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,3.03539916
2011,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,3.097093323
2012,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.828662038
2013,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.76106691
2014,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.870113346
2015,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.770694299
2016,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.833290382
2017,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.810408183
2018,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.768096298
2019,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.706716206
2020,Death rate due to road traffic injuries,,,,,Normal value,Units,"Rate per 100,000 population",,2.2599465
2009,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.674722374
2010,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.03504461
2011,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.092523873
2012,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.834454478
2013,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.750661496
2014,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.828403365
2015,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.734814103
